ds,y
2000-01-01,10.2
2001-01-01,9.8
2002-01-01,11.5
2003-01-01,24.0
2004-01-01,21.9
2005-01-01,18.7
2006-01-01,15.2
2007-01-01,12.8
2008-01-01,14.4
2009-01-01,19.7
2010-01-01,30.2
2011-01-01,15.9
2012-01-01,13.4
2013-01-01,11.2
2014-01-01,9.8
2015-01-01,8.9
2016-01-01,7.8
2017-01-01,14.4
2018-01-01,5.6
2019-01-01,3.2
2020-01-01,0.6
2021-01-01,1.5
2022-01-01,2.6
2023-01-01,16.4
2024-01-01,29.8
