year,notifications,notifications_reported,deaths_reported
2017,1813913.0,,
2018,2113813.0,,
2019,2420458.0,,
2020,1805670.0,,
2021,2135830.0,2135830.0,76002.0
2022,2422121.0,2422121.0,88060.0
2023,2425550.0,2552257.0,85231.0
2024,2535467.0,1312284.0,43290.0
