State,year,notifications
Andaman and Nicobar Islands,2017,292.0
Andhra Pradesh,2017,83118.0
Arunachal Pradesh,2017,3154.0
Assam,2017,40174.0
Bihar,2017,96489.0
Chandigarh,2017,5930.0
Chhattisgarh,2017,41272.0
Dadra and Nagar Haveli and Daman and Diu,2017,1420.0
Delhi,2017,65893.0
Goa,2017,1935.0
Gujarat,2017,149061.0
Haryana,2017,40751.0
Himachal Pradesh,2017,16451.0
Jammu and Kashmir,2017,10476.0
Jharkhand,2017,44128.0
Karnataka,2017,81187.0
Kerala,2017,22754.0
Ladakh,2017,
Lakshadweep,2017,46.0
Madhya Pradesh,2017,134333.0
Maharashtra,2017,192458.0
Manipur,2017,2805.0
Meghalaya,2017,3961.0
Mizoram,2017,2245.0
Nagaland,2017,3013.0
Odisha,2017,51044.0
Puducherry,2017,2891.0
Punjab,2017,40156.0
Rajasthan,2017,107936.0
Sikkim,2017,1121.0
Tamil Nadu,2017,75389.0
Telangana,2017,63725.0
Tripura,2017,3605.0
Uttar Pradesh,2017,302068.0
Uttarakhand,2017,15682.0
West Bengal,2017,106950.0
Andaman and Nicobar Islands,2018,556.0
Andhra Pradesh,2018,91224.0
Arunachal Pradesh,2018,3419.0
Assam,2018,42867.0
Bihar,2018,104886.0
Chandigarh,2018,5704.0
Chhattisgarh,2018,43026.0
Dadra and Nagar Haveli and Daman and Diu,2018,1348.0
Delhi,2018,93488.0
Goa,2018,2493.0
Gujarat,2018,154622.0
Haryana,2018,65642.0
Himachal Pradesh,2018,16482.0
Jammu and Kashmir,2018,12881.0
Jharkhand,2018,48450.0
Karnataka,2018,83069.0
Kerala,2018,24571.0
Ladakh,2018,
Lakshadweep,2018,19.0
Madhya Pradesh,2018,160119.0
Maharashtra,2018,209574.0
Manipur,2018,2923.0
Meghalaya,2018,4867.0
Mizoram,2018,2567.0
Nagaland,2018,4260.0
Odisha,2018,56610.0
Puducherry,2018,3060.0
Punjab,2018,51040.0
Rajasthan,2018,133486.0
Sikkim,2018,1358.0
Tamil Nadu,2018,78200.0
Telangana,2018,73245.0
Tripura,2018,3979.0
Uttar Pradesh,2018,394982.0
Uttarakhand,2018,18260.0
West Bengal,2018,120536.0
Andaman and Nicobar Islands,2019,580.0
Andhra Pradesh,2019,98486.0
Arunachal Pradesh,2019,2944.0
Assam,2019,48615.0
Bihar,2019,122231.0
Chandigarh,2019,6959.0
Chhattisgarh,2019,43220.0
Dadra and Nagar Haveli and Daman and Diu,2019,1487.0
Delhi,2019,122695.0
Goa,2019,2341.0
Gujarat,2019,171569.0
Haryana,2019,75317.0
Himachal Pradesh,2019,16867.0
Jammu and Kashmir,2019,15264.0
Jharkhand,2019,54407.0
Karnataka,2019,90538.0
Kerala,2019,28160.0
Ladakh,2019,
Lakshadweep,2019,27.0
Madhya Pradesh,2019,190472.0
Maharashtra,2019,227568.0
Manipur,2019,3122.0
Meghalaya,2019,5243.0
Mizoram,2019,2788.0
Nagaland,2019,4752.0
Odisha,2019,64797.0
Puducherry,2019,3350.0
Punjab,2019,58189.0
Rajasthan,2019,154696.0
Sikkim,2019,1391.0
Tamil Nadu,2019,84089.0
Telangana,2019,76883.0
Tripura,2019,4022.0
Uttar Pradesh,2019,482617.0
Uttarakhand,2019,19448.0
West Bengal,2019,135324.0
Andaman and Nicobar Islands,2020,478.0
Andhra Pradesh,2020,64065.0
Arunachal Pradesh,2020,2522.0
Assam,2020,35261.0
Bihar,2020,98994.0
Chandigarh,2020,4294.0
Chhattisgarh,2020,29339.0
Dadra and Nagar Haveli and Daman and Diu,2020,965.0
Delhi,2020,86842.0
Goa,2020,1660.0
Gujarat,2020,120560.0
Haryana,2020,62697.0
Himachal Pradesh,2020,13424.0
Jammu and Kashmir,2020,8830.0
Jharkhand,2020,45505.0
Karnataka,2020,65785.0
Kerala,2020,20835.0
Ladakh,2020,239.0
Lakshadweep,2020,20.0
Madhya Pradesh,2020,137648.0
Maharashtra,2020,159663.0
Manipur,2020,1563.0
Meghalaya,2020,4139.0
Mizoram,2020,2334.0
Nagaland,2020,3487.0
Odisha,2020,45628.0
Puducherry,2020,2762.0
Punjab,2020,46198.0
Rajasthan,2020,137343.0
Sikkim,2020,1326.0
Tamil Nadu,2020,70304.0
Telangana,2020,63209.0
Tripura,2020,2071.0
Uttar Pradesh,2020,366641.0
Uttarakhand,2020,20000.0
West Bengal,2020,79039.0
Andaman and Nicobar Islands,2021,507.0
Andhra Pradesh,2021,86832.0
Arunachal Pradesh,2021,2724.0
Assam,2021,37641.0
Bihar,2021,131703.0
Chandigarh,2021,4720.0
Chhattisgarh,2021,32416.0
Dadra and Nagar Haveli and Daman and Diu,2021,1013.0
Delhi,2021,103038.0
Goa,2021,2018.0
Gujarat,2021,144731.0
Haryana,2021,69083.0
Himachal Pradesh,2021,14492.0
Jammu and Kashmir,2021,10826.0
Jharkhand,2021,52179.0
Karnataka,2021,72435.0
Kerala,2021,21872.0
Ladakh,2021,291.0
Lakshadweep,2021,12.0
Madhya Pradesh,2021,166346.0
Maharashtra,2021,199976.0
Manipur,2021,1793.0
Meghalaya,2021,4152.0
Mizoram,2021,1749.0
Nagaland,2021,3648.0
Odisha,2021,52381.0
Puducherry,2021,3444.0
Punjab,2021,50142.0
Rajasthan,2021,149225.0
Sikkim,2021,1373.0
Tamil Nadu,2021,82823.0
Telangana,2021,60714.0
Tripura,2021,2543.0
Uttar Pradesh,2021,453712.0
Uttarakhand,2021,22789.0
West Bengal,2021,90487.0
Andaman and Nicobar Islands,2022,534.0
Andhra Pradesh,2022,92187.0
Arunachal Pradesh,2022,2863.0
Assam,2022,47822.0
Bihar,2022,161165.0
Chandigarh,2022,6066.0
Chhattisgarh,2022,38521.0
Dadra and Nagar Haveli and Daman and Diu,2022,1399.0
Delhi,2022,106731.0
Goa,2022,2091.0
Gujarat,2022,151912.0
Haryana,2022,75838.0
Himachal Pradesh,2022,16089.0
Jammu and Kashmir,2022,11804.0
Jharkhand,2022,57320.0
Karnataka,2022,80416.0
Kerala,2022,23388.0
Ladakh,2022,320.0
Lakshadweep,2022,11.0
Madhya Pradesh,2022,186293.0
Maharashtra,2022,234105.0
Manipur,2022,2554.0
Meghalaya,2022,4989.0
Mizoram,2022,2085.0
Nagaland,2022,4125.0
Odisha,2022,60372.0
Puducherry,2022,3835.0
Punjab,2022,55150.0
Rajasthan,2022,169522.0
Sikkim,2022,1395.0
Tamil Nadu,2022,93879.0
Telangana,2022,72941.0
Tripura,2022,3024.0
Uttar Pradesh,2022,522850.0
Uttarakhand,2022,27553.0
West Bengal,2022,100972.0
Andaman and Nicobar Islands,2023,488.0
Andhra Pradesh,2023,86033.0
Arunachal Pradesh,2023,2606.0
Assam,2023,50180.0
Bihar,2023,184706.0
Chandigarh,2023,3912.0
Chhattisgarh,2023,37473.0
Dadra and Nagar Haveli and Daman and Diu,2023,822.0
Delhi,2023,82426.0
Goa,2023,1823.0
Gujarat,2023,133898.0
Haryana,2023,75745.0
Himachal Pradesh,2023,15399.0
Jammu and Kashmir,2023,11382.0
Jharkhand,2023,60592.0
Karnataka,2023,74493.0
Kerala,2023,20558.0
Ladakh,2023,328.0
Lakshadweep,2023,13.0
Madhya Pradesh,2023,178884.0
Maharashtra,2023,205909.0
Manipur,2023,2522.0
Meghalaya,2023,4493.0
Mizoram,2023,2115.0
Nagaland,2023,4192.0
Odisha,2023,60766.0
Puducherry,2023,1507.0
Punjab,2023,56264.0
Rajasthan,2023,159302.0
Sikkim,2023,1189.0
Tamil Nadu,2023,92945.0
Telangana,2023,72100.0
Tripura,2023,3425.0
Uttar Pradesh,2023,613851.0
Uttarakhand,2023,25674.0
West Bengal,2023,97535.0
Andaman and Nicobar Islands,2024,533.0
Andhra Pradesh,2024,81804.0
Arunachal Pradesh,2024,2939.0
Assam,2024,49389.0
Bihar,2024,203853.0
Chandigarh,2024,4108.0
Chhattisgarh,2024,38957.0
Dadra and Nagar Haveli and Daman and Diu,2024,790.0
Delhi,2024,90281.0
Goa,2024,1973.0
Gujarat,2024,129465.0
Haryana,2024,83673.0
Himachal Pradesh,2024,15621.0
Jammu and Kashmir,2024,11964.0
Jharkhand,2024,63913.0
Karnataka,2024,74135.0
Kerala,2024,20214.0
Ladakh,2024,318.0
Lakshadweep,2024,14.0
Madhya Pradesh,2024,177525.0
Maharashtra,2024,214670.0
Manipur,2024,2561.0
Meghalaya,2024,4318.0
Mizoram,2024,2163.0
Nagaland,2024,4009.0
Odisha,2024,59483.0
Puducherry,2024,1355.0
Punjab,2024,60456.0
Rajasthan,2024,168059.0
Sikkim,2024,1169.0
Tamil Nadu,2024,91318.0
Telangana,2024,74711.0
Tripura,2024,3422.0
Uttar Pradesh,2024,670590.0
Uttarakhand,2024,28382.0
West Bengal,2024,97332.0
