Year,Baseline,Prevention_First,Treatment_First,Combination_Strategy
2025,2368508.0,2486933.0,2321138.0,2437195.0
2026,2403977.0,2524176.0,2308780.0,2424219.0
2027,2439464.0,2195517.0,2296004.0,2020483.0
2028,2474968.0,2004724.0,2282832.0,1767825.0
2029,2510490.0,1830147.0,2269284.0,1546453.0
2030,2546029.0,1670450.0,2255380.0,1352541.0
