Study,Total,Positive,Rate,lower,upper,err_low,err_high
National Survey (2019-21),100000,3599,0.036,0.03485324627585459,0.03716240186088473,0.0011467537241454107,0.001162401860884732
Mumbai (2024),100,2,0.022,0.00550196755016235,0.07001179072854391,0.01649803244983765,0.04801179072854391
W. Maharashtra (2023),1052,31,0.03,0.020836334590601573,0.04152289393811593,0.009163665409398426,0.011522893938115931
Puducherry (2022),125,0,0.001,1.734723475976807e-18,0.02981539370832647,0.0009999999999999983,0.02881539370832647
Systematic Rev (2022),50000,1950,0.039,0.03733820789582454,0.040732623162937145,0.0016617921041754621,0.0017326231629371455
