"","DONOR","RECIPIENT","SECTOR","MEASURE","CHANNEL","MODALITY","FLOW_TYPE","PRICE_BASE","MD_DIM","MD_ID","UNIT_MEASURE","BASE_PER","UNIT_MULT","obsTime","obsValue","OBS_STATUS","DECIMALS"
"1","USA","E_X","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2021",0.707736,"A","3"
"2","USA","E","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2007",0.351594,"A","3"
"3","9OTH012","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2011",1.565098,"A","3"
"4","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2013",2.354947,"A","3"
"5","ALLD","WSM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.007999,"A","3"
"6","ALLD","VCT","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2007",0.142769,"A","3"
"7","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2022",0.014963,"A","3"
"8","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2019",0.009281,"A","3"
"9","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2021",0.025768,"A","3"
"10","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2020",0.022644,"A","3"
"11","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2018",0.035568,"A","3"
"12","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2016",0.273182,"A","3"
"13","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.32715,"A","3"
"14","ALLD","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2014",1.854915,"A","3"
"15","9OTH012","COL","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2016",0.273182,"A","3"
"16","USA","UMIC","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",46.67742,"A","3"
"17","ALLD","MADCT","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2014",0.002263,"A","3"
"18","ALLD","MEX","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2020",0.065927,"A","3"
"19","ALLD","MEX","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2017",0.024469,"A","3"
"20","ALLD","MEX","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2014",0.019232,"A","3"
