"","DONOR","RECIPIENT","SECTOR","MEASURE","CHANNEL","MODALITY","FLOW_TYPE","PRICE_BASE","MD_DIM","MD_ID","UNIT_MEASURE","BASE_PER","UNIT_MULT","obsTime","obsValue","OBS_STATUS","DECIMALS"
"55","9OTH012","BDI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.697384,"A","3"
"56","9OTH012","KHM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",5.298917,"A","3"
"57","9OTH012","CMR","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",3.442239,"A","3"
"58","9OTH012","CAF","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.762789,"A","3"
"59","9OTH012","TCD","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.112952,"A","3"
"60","9OTH012","CHN","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",59.81141,"A","3"
"61","9OTH012","COG","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.135031,"A","3"
"62","9OTH012","CIV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",3.184836,"A","3"
"63","9OTH012","CUB","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.568608,"A","3"
"64","9OTH012","PRK","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",7.257924,"A","3"
"65","9OTH012","COD","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",17.540334,"A","3"
"66","9OTH012","DJI","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",0.176173,"A","3"
"67","9OTH012","DOM","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",4.929692,"A","3"
"68","9OTH012","ECU","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",1.003239,"A","3"
"69","9OTH012","EGY","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.142564,"A","3"
"70","9OTH012","SLV","12263","100","_T","_T","D","Q","_T","0","USD","2023","6","2012",2.106697,"A","3"
