model,rmse,mae
poly_deg1,1122000.763607542,993093.0286561251
bayes_lin,1122000.7636078887,993093.028655976
ets,1237282.8722069839,1008173.5132112969
poly_deg2,1254587.6749339534,1016741.9085264206
