year,rr.new,rr.ret,mdr.new,mdr.ret,notifications,new_den,ret_den,p_new,p_ret,pooled,se
2017,7976.0,23232.0,2152.0,5357.0,1649694.0,1435233.78,214460.22,0.005557282800297524,0.10832778218729795,0.08762525667210179,0.0006711184371344571
2018,8987.0,27248.0,3232.0,5182.0,1908683.0,1660554.21,248128.79,0.005412048547334086,0.10981393976894015,0.08762525667210179,0.0006276688156299288
2019,18945.0,18100.0,1886.0,5323.0,2162323.0,1881221.01,281101.99,0.010070587081100056,0.06438944099968841,0.08762525667210179,0.0004629380996674877
2020,14453.0,20138.0,2764.0,10114.0,1621483.0,1410690.21,210792.79,0.010245339407296234,0.09553457687048973,0.08762525667210179,0.0006402482507445354
2021,31847.0,22352.0,9417.0,7872.0,1933381.0,1682041.47,251339.53,0.018933540324662743,0.08893149438132553,0.08762525667210179,0.0005677706161681823
2022,34128.0,25207.0,10235.0,8346.0,2250434.0,1957877.58,292556.42,0.01743112048915745,0.086161158247698,0.08762525667210179,0.0005187830217320279
2023,34761.0,24061.0,11606.0,8696.0,2498813.0,2173967.31,324845.69,0.015989660856491904,0.07406901412175117,0.08762525667210179,0.0004594825646588735
2024,38807.0,14926.0,14046.0,4780.0,559876.0,487092.12,72783.88,0.07967076125148566,0.2050728815226668,0.08762525667210179,0.0014965808082761784
