g.whoregion,prev.num.asy,prev.num.asy.lo,prev.num.asy.hi,prev.num.sym,prev.num.sym.lo,prev.num.sym.hi,prev.num.all,prev.num.all.lo,prev.num.all.hi,asy.txt,sym.txt,all.txt
AFR,1204846.66353472,628495.34709931,1781197.97997012,1343651.16171962,735005.310869301,1952297.01256993,2548497.82525433,1710267.18174735,3386728.46876132,1 200 000 (628 000 to 1 780 000),1 340 000 (735 000 to 1 950 000),2 550 000 (1 710 000 to 3 390 000)
AMR,142058.660365924,75533.9441819372,208583.37654991,215455.634888317,133528.436965837,297382.832810798,357514.295254241,251979.449715958,463049.140792524,142 000 (75 500 to 209 000),215 000 (134 000 to 297 000),358 000 (252 000 to 463 000)
EMR,366918.648469976,2547.81038256979,731289.486557382,556493.283512797,107759.587504144,1005226.97952145,923411.931982773,345373.838443857,1501450.02552169,367 000 (2 550 to 731 000),556 000 (108 000 to 1 010 000),923 000 (345 000 to 1 500 000)
EUR,70828.9331064025,28466.9536418126,113190.912570992,107423.881878044,55253.8242653977,159593.93949069,178252.814984446,111049.747975082,245455.881993811,70 800 (28 500 to 113 000),107 000 (55 300 to 160 000),178 000 (111 000 to 245 000)
SEA,2319566.67120046,664620.119361735,3974513.22303919,1098969.51930963,0,2278260.40086241,3418536.19051009,1409440.44789917,5427631.93312101,2 320 000 (665 000 to 3 970 000),1 100 000 (0 to 2 280 000),3 420 000 (1 410 000 to 5 430 000)
WPR,2087644.59872806,963007.69719796,3212281.50025816,1339638.84665096,438736.096471681,2240541.59683023,3427283.44537901,1986299.77941892,4868267.11133911,2 090 000 (963 000 to 3 210 000),1 340 000 (439 000 to 2 240 000),3 430 000 (1 990 000 to 4 870 000)
GLOBAL,6191864.17540554,4076486.3669517,8307241.98385938,4661632.32795936,3021361.35608409,6301903.29983463,10853496.5033649,8176686.43657353,13530306.5701563,6 190 000 (4 080 000 to 8 310 000),4 660 000 (3 020 000 to 6 300 000),10 900 000 (8 180 000 to 13 500 000)
