Country,name,SubDiv,Year,icd,Cause,cause1,Sex,Frmat,Deaths1,Deaths2,Deaths3,Deaths4,Deaths5,Deaths6,Deaths7,Deaths8,Deaths9,Deaths10,Deaths11,Deaths12,Deaths13,Deaths14,Deaths15,Deaths16,Deaths17,Deaths18,Deaths19,Deaths20,Deaths21,Deaths22,Deaths23,Deaths24,Deaths25,Deaths26
4012,Azerbaijan,,2001,101,1000,tot,1,01,23725,769,349,203,114,74,285,206,322,363,424,596,816,1146,1225,1356,1080,3091,3720,3696,1917,803,1170,,,0
4012,Azerbaijan,,2001,101,1000,tot,2,01,21559,613,300,163,81,68,221,150,159,191,240,341,402,531,569,673,648,2137,2899,3392,2448,1852,3481,,,0
4012,Azerbaijan,,2001,101,,ill,1,01,505,11,2,4,2,2,5,7,15,11,22,19,25,21,28,28,15,34,44,57,46,42,65,,,0
4012,Azerbaijan,,2001,101,,ill,2,01,577,17,6,2,1,5,1,1,4,4,3,5,7,12,5,6,5,20,23,68,65,84,233,,,0
4012,Azerbaijan,,2001,101,1005,TB,1,01,820,0,0,1,1,0,0,4,10,63,103,114,132,113,75,48,27,46,48,24,5,4,2,,,0
4012,Azerbaijan,,2001,101,1005,TB,2,01,247,0,0,2,0,1,2,3,13,22,21,32,22,21,12,6,9,22,25,21,6,0,7,,,0
4012,Azerbaijan,,2001,101,1006,TB,1,01,17,0,1,0,2,1,0,0,2,1,0,1,1,0,0,1,3,0,3,0,1,0,0,,,0
4012,Azerbaijan,,2001,101,1006,TB,2,01,23,1,0,1,0,0,4,0,2,1,0,4,2,0,5,1,0,1,0,0,1,0,0,,,0
4012,Azerbaijan,,2001,101,1020,HIV,1,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
4012,Azerbaijan,,2001,101,1020,HIV,2,01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0
4012,Azerbaijan,,2002,101,1000,tot,1,01,24405,793,315,165,76,61,249,187,299,350,446,531,794,1158,1268,1398,1046,2846,4003,4051,2219,987,1163,,,0
