IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,DISAGGR_2,UNIT,VALUE,VALUE_LO,VALUE_HI
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Male,65 years and older,Number,0.045419842,0,0.114564547
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,0-4 years,Number,0.008293288,0,0.048954296
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,5-14 years,Number,0.003795859,0,0.033119401
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,15-24 years,Number,0.007908441,0,0.047804949
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,25-34 years,Number,0.015683546,0,0.067320845
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,35-44 years,Number,0.02126496,0,0.078389829
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,45-54 years,Number,0.016131141,0,0.068274727
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,55-64 years,Number,0.012818389,0,0.060861711
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Andorra,Female,65 years and older,Number,0.030517039,0,0.093907143
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,0-4 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,5-14 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,15-24 years,Number,2.998016219,0,14.06811136
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,25-34 years,Number,9.821731834,0,25.46319199
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,35-44 years,Number,14.7937298,0,31.25054889
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,45-54 years,Number,4.981849271,0,18.13485554
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,55-64 years,Number,9.006194097,0,24.38313032
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Male,65 years and older,Number,8.015222217,0,23.00258225
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,0-4 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,5-14 years,Number,0,0,0
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,15-24 years,Number,3.004658433,0,14.08368695
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,25-34 years,Number,1.996937497,0,11.48156383
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,35-44 years,Number,2.997602913,0,14.06714162
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,45-54 years,Number,3.003058212,0,14.0799361
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,55-64 years,Number,5.008976344,0,18.18416229
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,United Arab Emirates,Female,65 years and older,Number,6.012080884,0,19.92192111
4F887DE48F8D6C,TB_e_mort_agesex_num,Estimated number of TB deaths by age and sex,2023,Argentina,Male,0-4 years,Number,0.830406335,0,5.047130105
