IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,UNIT,VALUE
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2021,Burkina Faso,HIV on TPT,Number,6441
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2021,Burkina Faso,,Number,1625
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2021,Burkina Faso,,Number,6
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2022,Burkina Faso,HIV on TPT,Number,1077
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2022,Burkina Faso,,Number,1567
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2022,Burkina Faso,,Number,7
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2023,Burkina Faso,HIV on TPT,Number,2657
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2023,Burkina Faso,,Number,1540
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2023,Burkina Faso,,Number,2657
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2015,Burundi,,Number,605
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2016,Burundi,,Number,1171
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2017,Burundi,HIV on TPT,Number,3013
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2017,Burundi,,Number,1457
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2018,Burundi,,Number,1048
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2018,Burundi,,Number,0
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2023,Burundi,HIV on TPT,Number,15247
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2023,Burundi,,Number,781
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2023,Burundi,,Number,107
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2015,Cabo Verde,HIV on TPT,Number,176
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2016,Cabo Verde,,Number,1
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2018,Cabo Verde,,Number,3
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2018,Cabo Verde,,Number,4
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2019,Cabo Verde,,Number,30
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2019,Cabo Verde,,Number,24
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2020,Cabo Verde,,Number,21
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2020,Cabo Verde,,Number,27
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2021,Cabo Verde,,Number,15
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2021,Cabo Verde,,Number,43
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2022,Cabo Verde,,Number,9
86296A68767F99,TB_prevtx_num,Number of people started on TB preventive treatment,2022,Cabo Verde,,Number,52
