IND_ID,IND_CODE,INDICATOR_NAME,YEAR,COUNTRY,DISAGGR_1,DISAGGR_2,UNIT,VALUE,VALUE_LO,VALUE_HI
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montenegro,Male,55-64 years,Number,13,8,18
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montenegro,Female,65 years and older,Number,13,8,18
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montenegro,Male,65 years and older,Number,19,11,26
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,0-4 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,0-4 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,15-24 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,15-24 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,25-34 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,25-34 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,35-44 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,35-44 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,45-54 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,45-54 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,5-14 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,5-14 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,55-64 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,55-64 years,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Female,65 years and older,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Montserrat,Male,65 years and older,Number,0,0,0
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Morocco,Female,0-4 years,Number,260,110,400
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Morocco,Male,0-4 years,Number,270,120,420
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Morocco,Female,15-24 years,Number,3100,1300,4800
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Morocco,Male,15-24 years,Number,4000,1700,6200
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Morocco,Female,25-34 years,Number,2800,1200,4400
9FFEC4F64CE46F,TB_e_inc_agesex_num,Estimated number of incident TB cases by age group and sex,2023,Morocco,Male,25-34 years,Number,5400,2300,8600
