Donor,Pledge,Contribution
Debt2Health - Germany-Indonesia,74515648.29,12222743.55
Debt2Health - Germany-Mongolia,28812717.34,2263127.19
Absa Group Ltd,150000,150000
Anglo American plc,15500000,11875000
F.Hoffmann-La Roche,622988.27,415325.52
GlaxoSmithKline plc and Viiv Healthcare,9408997.36,7644810.34
Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA,5500000,1232820
Medtronic LABS,100000,100000
Product (RED),150000000,37556804.8
PT. Kalbe Farma Tbk,1500000,1000000
Takeda Pharmaceutical,2617564.13,2617564.14
Abbott Fund,5000000,3334000
AIDS Healthcare Foundation,10000000,4000000
Bill & Melinda Gates Foundation,927000000,899299602
Catholic Relief Services,3000000,1500000
Children's Investment Fund Foundation,33189322,17589322
Comic Relief,6000000,2350000
J.C. Flowers Foundation,5000000,1000000
Johnson & Johnson Foundation,1000000,1000000
McGovern Foundation,15000000,10500000
New Venture Fund,1000000,1000000
Rockefeller Foundation,499260,499260
Skoll Foundation,15000000,13000000
Tanoto Foundation,10000000,7000000
Foundation S,1000000,600000
Outcomes Fund for Fevers,25000000,0
SMJR Foundation,1000000,0
"KN Cam Ranh Co., Ltd.",3000000,500000
Other Private Sector,82000000,60020750
Plan International and Plan Canada,2243661.66,0
Rotary Australia World Community Service and Rotarians Against Malaria,4800000,0
Australia,177552314.5,106798384.7
Belgium,29806259.31,29806259.32
Canada,904644379.6,603096253.1
China,18000000,9000000
Cyprus,99354.2,99354.2
Denmark,50098192.46,50098192.46
Eswatini,1000000,300000
European Commission,710382513.7,606502163.8
France,1585692996,844734823.6
Germany,1192250373,914058618.9
India,25000000,16000000
Indonesia,10000000,3000000
Ireland,65325384.99,65325385
Italy,183805265.8,116095380
Japan,1080000000,936917392
Korea (Republic),100000000,75000000
Kuwait,9500000,6833334
Luxembourg,15350223.54,13263785.4
Malta,149031.3,149031.3
Monaco,397416.79,248385.5
Morocco,1283940.39,855960.26
Netherlands,178837555.9,119225037.3
New Zealand,1472754.05,1472754.06
Niger,1000000,299999.14
Norway,193183519.5,193183519.5
Paraguay,50000,49000
Portugal,1490312.97,1192250.38
Qatar,50000000,20000000
Rwanda,3250000,541000
Saudi Arabia,39000000,26000000
Singapore,600000,400000
South Africa,13000000,8600000
Spain,129160457,89418777.94
Sweden,274202983.3,217808569.8
Switzerland,66452081.82,42394351.58
Tanzania (United Republic),1000000,997809.1
Thailand,3000000,3000000
Togo,1500000,500000
Uganda,3000000,397282.09
United Kingdom,1176124669,1003198829
United States,6000000000,1821953399
Burkina Faso,1000000,0
Central African Republic,1000000,0
Congo (Democratic Republic),6000000,0
Côte d'Ivoire,2000000,0
Ghana,2000000,0
Guinea,200000,0
Kenya,10000000,0
Malawi,1000000,0
Nigeria,13200000,0
Other Public,14903129.66,0
Zimbabwe,1000000,0
