"Donor","Pledges (USD)","Contributions (USD)"
"AMFm Bill & Melinda Gates Foundation","5000000","5000000"
"AMFm Canada","39596763.03","39596763.03"
"AMFm United Kingdom","106242960","106242960"
"AMFm World Health Organization-Unitaid","70000000","70000000"
"Anglo American plc","3000000","3000000"
"Australia","198712176","198712176"
"Belgium","69579195.01","69579195.01"
"Bill & Melinda Gates Foundation","450000000","450000000"
"Brunei Darussalam","100000","100000"
"Canada","532988300.1","532988300.1"
"Chevron Corporation","25000000","25000000"
"China","14000000","14000000"
"Debt2Health - Australia-Indonesia","12332754","12332754"
"Debt2Health - Germany-Côte d'Ivoire","4223649.03","4223649.03"
"Debt2Health - Germany-Egypt","4807118.2","4807118.2"
"Debt2Health - Germany-Indonesia","13256823.21","13256823.21"
"Debt2Health - Germany-Pakistan","13306578.86","13306578.86"
"Denmark","81177898.05","81177898.05"
"European Commission","430103500","430103500"
"Finland","13024200","13024200"
"France","1412807890.7","1360626235.13"
"Georgia","40000","40000"
"Germany","796785000","796785000"
"Gift from Africa","3000000","1495856.61"
"India","3000000","3000000"
"Japan","579379493","579379493"
"Korea (Republic)","8080161.43","8080161.43"
"Kuwait","1499965","1499965"
"LMI (Lutheran Malaria Initiative)","1510832.95","1510832.95"
"Liechtenstein","325900.58","325900.58"
"Luxembourg","9913000","9913000"
"Malaysia","32216.49","32216.49"
"Namibia","750000","750000"
"Netherlands","209654640","209654640"
"Nigeria","10000000","0"
"Norway","228239731.9","228239731.9"
"Other Private Sector","94840","94840"
"Product (RED)","0","59895892"
"Romania","142300","142300"
"Russian Federation","60000000","60000000"
"Rwanda","1000000","1000000"
"Saudi Arabia","25000000","25000000"
"South Africa","1524855.14","1524855.14"
"Sweden","297992375.62","297992375.62"
"Switzerland","27935312.86","27935312.86"
"Takeda Pharmaceutical","3215894.59","3215894.59"
"Thailand","1999941","1999941"
"Tunisia","2000000","2000000"
"United Kingdom","847928373.5","847928373.5"
"United Methodist Church","6419044","6419044"
"United Nations Foundation","1436806","1436806"
"United States","3679513356","3679513356"
