"Donor","Pledges (USD)","Contributions (USD)"
"Australia","168221440.2","163121271.97"
"Belgium","50499382.95","50499382.95"
"Benin","2000000","2000000"
"Bill & Melinda Gates Foundation","639526860","639526860"
"Canada","615714504.24","615714504.23"
"Catholic Relief Services","5000000","5000000"
"Chevron Corporation","4000","4000"
"Children's Investment Fund Foundation","3930611.75","3885175.75"
"China","18000000","18000000"
"Co-Impact","2950000","2950000"
"Comic Relief","24692428.44","24692428.41"
"Cordaid","0","0"
"Côte d'Ivoire","1026477.5","1026477.5"
"Debt2Health - Germany - El Salvador","11222085.1","11222085.07"
"Debt2Health - Germany-Côte d'Ivoire","1213600.57","1213600.26"
"Debt2Health - Germany-Indonesia","56110425.5","56110425.48"
"Debt2Health - Germany-Sri Lanka","22444170.2","16114812.86"
"Debt2Health - Jordan-Germany","11222085.1","11222085.09"
"Debt2Health - Spain-Cameroon","10456922.93","10456922.93"
"Debt2Health - Spain-Congo (Democratic Republic)","3403543.45","3403543.45"
"Debt2Health - Spain-Ethiopia","3581142.41","3581142.41"
"Denmark","45181492.47","45181492.47"
"Duet Group","2600000","0"
"Ecobank","3000000","750000"
"European Commission","533049042.24","533049042.23"
"France","1211985190.8","1127146227.43"
"Germany","852878467.6","813601169.72"
"Goodbye Malaria - Sonhos Social Capital / Relate Trust ZA","4000000","3501405.41"
"Human Crescent","0","0"
"India","20000000","20000000"
"Ireland","33666255.3","33666255.3"
"Italy","157109191.4","150107749.32"
"Japan","800000000","800000000"
"Kenya","5000000","5000000"
"Korea (Republic)","12513844.37","12513844.37"
"Kuwait","6500000","6500000"
"Liechtenstein","205973.22","205973.22"
"Luxembourg","9089888.93","9089888.91"
"Munich Re","751500","751500"
"Namibia","1500000","800000"
"Netherlands","186286612.66","180900011.8"
"New Zealand","1100190.7","1100190.69"
"Nigeria","10000000","9580042.36"
"Norway","243128580","243128580"
"Other Private Sector","35800000","15045987"
"Portugal","254741.31","254741.3"
"Product (RED)","100000000","100000000"
"Qatar","10000000","10000000"
"Saudi Arabia","15000000","15000000"
"Senegal","1000000","855333.25"
"South Africa","5000000","5000000"
"Standard Bank","4000000","2000000"
"Sweden","292952725","292952725"
"Switzerland","58702368.84","58702368.84"
"Tahir Foundation","38227821.81","12353071.24"
"Takeda Pharmaceutical","2764493.85","2764493.85"
"Thailand","4500000","4500000"
"Togo","1000000","1000000"
"Uganda","1500000","1500000"
"United Kingdom","1569242844","1569242843.99"
"United Methodist Church","7914103","3770000"
"United Nations Foundation","236288","236288"
"United States","4300000000","3718391382"
"Zambia","3000000","750000"
"Zimbabwe","1000000","950000"
