Year,XGBoost,LightGBM,BayesianRidge,Ensemble_Projection,Scenario_Optimistic,Scenario_Pessimistic
2025,2509065.5,2209102.75,2209102.750216913,2269095.293880148,1682802.8327355469,2735402.667698279
2026,2509065.5,2209102.75,2209102.7502651154,2269095.293909069,1682802.817986236,2735402.682543995
2027,2509065.5,2209102.75,2209102.7503133183,2269095.293937991,1682802.8032296202,2735402.6973970165
2028,2509065.5,2209102.75,2209102.7503615213,2269095.2939669127,1682802.7884656992,2735402.7122573433
2029,2509065.5,2209102.75,2209102.7504097237,2269095.293995834,1682802.7736944729,2735402.7271249746
2030,2509065.5,2209102.75,2209102.7504579267,2269095.294024756,1682802.7589159412,2735402.741999912
