Year,BayesianRidge_Poly,XGBoost_Linear,Ensemble_Projection,Scenario_Optimistic,Scenario_Pessimistic
2025,2527794.8136179745,2209221.0,2368507.9068089873,-56409758.22325724,61465347.85049319
2026,2598732.0124194026,2209222.2,2403977.1312097013,-56397042.524802,61594506.549640805
2027,2669704.2332867235,2209223.2,2439463.7416433617,-56384320.551287,61723729.01786045
2028,2740711.476219937,2209224.5,2474967.9881099686,-56371592.302708186,61853015.25514806
2029,2811753.741219029,2209225.5,2510489.6206095144,-56358857.77906154,61982365.2614996
2030,2882831.028284028,2209226.8,2546028.889142014,-56346116.98034302,62111779.03691108
