Year,HoltWinters,ARIMA,Linear
2025,127854.69302778128,130000.0,127999.99999999953
2026,129252.7753180085,130000.0,129454.54545454495
2027,130643.86719678459,130000.0,130909.09090909082
2028,132028.0036161668,130000.0,132363.63636363624
2029,133405.2193534521,130000.0,133818.18181818165
2030,134775.54901205096,130000.0,135272.72727272706
